fecha,proveedor,producto_sku,producto_nombre,cantidad,costo,total
2025-04-04,Proveedor Central Electrónico,COMP-003,Tarjeta Gráfica RTX 3060 12GB,12,5800,69600.0
2025-04-13,Distribuciones Norte SA,COMP-004,Fuente de Poder 650W 80Plus,62,700,43400.0
2025-04-14,Mayorista ElectroPro MX,AUDIO-001,Audífonos Sony WH-1000XM5,14,4000,56000.0
2025-04-14,Proveedor Central Electrónico,AUDIO-002,Bocina JBL Charge 5,54,1300,70200.0
2025-04-17,Distribuciones Norte SA,AUDIO-003,Micrófono USB Blue Yeti,130,1700,221000.0
2025-04-18,Proveedor Central Electrónico,AUDIO-004,Audífonos Gamer HyperX Cloud II,220,1100,242000.0
2025-04-19,Proveedor Central Electrónico,SMART-001,Foco Inteligente Philips Hue E27,708,220,155760.0
2025-04-24,Proveedor Central Electrónico,SMART-002,Enchufe Inteligente WiFi 15A,454,150,68100.0
2025-04-24,Distribuidora TecnoMax SA de CV,SMART-003,Cámara IP Indoor 1080p WiFi,239,420,100380.0
2025-04-30,Proveedor Central Electrónico,ELECT-001,Laptop ProBook X15,12,12000,144000.0
2025-05-01,Mayorista ElectroPro MX,ELECT-002,Tablet Samsung Galaxy Tab A8,103,3500,360500.0
2025-05-13,Distribuidora TecnoMax SA de CV,ELECT-003,Smartphone Redmi Note 13 Pro,38,2800,106400.0
2025-05-13,Proveedor Central Electrónico,ELECT-004,"Monitor LED Full HD 27""",77,2900,223300.0
2025-05-18,Importaciones GlobalTech,ACESS-001,Mouse Inalámbrico Logitech M310,387,280,108360.0
2025-05-22,Distribuciones Norte SA,ACESS-002,Teclado Mecánico Redragon K552,54,550,29700.0
2025-05-23,Distribuciones Norte SA,ACESS-003,Hub USB-C 7 en 1,32,350,11200.0
2025-05-25,Importaciones GlobalTech,ACESS-004,Cable HDMI 4K 2m,411,80,32880.0
2025-05-26,Importaciones GlobalTech,ACESS-005,"Mochila Laptop 15.6""",194,450,87300.0
2025-05-28,Distribuidora TecnoMax SA de CV,COMP-001,SSD Samsung 870 EVO 1TB,224,900,201600.0
2025-05-28,Proveedor Central Electrónico,COMP-002,Memoria RAM DDR4 16GB 3200MHz,120,420,50400.0
2025-05-31,Distribuciones Norte SA,COMP-003,Tarjeta Gráfica RTX 3060 12GB,14,5800,81200.0
2025-06-05,Distribuciones Norte SA,COMP-004,Fuente de Poder 650W 80Plus,103,700,72100.0
2025-06-06,Distribuciones Norte SA,AUDIO-001,Audífonos Sony WH-1000XM5,17,4000,68000.0
2025-06-09,Mayorista ElectroPro MX,AUDIO-002,Bocina JBL Charge 5,66,1300,85800.0
2025-06-11,Importaciones GlobalTech,AUDIO-003,Micrófono USB Blue Yeti,16,1700,27200.0
2025-06-15,Proveedor Central Electrónico,AUDIO-004,Audífonos Gamer HyperX Cloud II,242,1100,266200.0
2025-06-16,Distribuidora TecnoMax SA de CV,SMART-001,Foco Inteligente Philips Hue E27,1126,220,247720.0
2025-06-18,Proveedor Central Electrónico,SMART-002,Enchufe Inteligente WiFi 15A,606,150,90900.0
2025-06-18,Distribuidora TecnoMax SA de CV,SMART-003,Cámara IP Indoor 1080p WiFi,522,420,219240.0
2025-06-20,Distribuciones Norte SA,ELECT-001,Laptop ProBook X15,3,12000,36000.0
2025-06-22,Importaciones GlobalTech,ELECT-002,Tablet Samsung Galaxy Tab A8,15,3500,52500.0
2025-07-03,Distribuidora TecnoMax SA de CV,ELECT-003,Smartphone Redmi Note 13 Pro,35,2800,98000.0
2025-07-05,Distribuciones Norte SA,ELECT-004,"Monitor LED Full HD 27""",5,2900,14500.0
2025-07-06,Importaciones GlobalTech,ACESS-001,Mouse Inalámbrico Logitech M310,789,280,220920.0
2025-07-07,Distribuciones Norte SA,ACESS-002,Teclado Mecánico Redragon K552,153,550,84150.0
2025-07-12,Distribuciones Norte SA,ACESS-003,Hub USB-C 7 en 1,156,350,54600.0
2025-07-14,Mayorista ElectroPro MX,ACESS-004,Cable HDMI 4K 2m,1018,80,81440.0
2025-07-23,Distribuciones Norte SA,ACESS-005,"Mochila Laptop 15.6""",281,450,126450.0
2025-07-23,Distribuidora TecnoMax SA de CV,COMP-001,SSD Samsung 870 EVO 1TB,183,900,164700.0
2025-07-23,Importaciones GlobalTech,COMP-002,Memoria RAM DDR4 16GB 3200MHz,223,420,93660.0
2025-07-25,Distribuciones Norte SA,COMP-003,Tarjeta Gráfica RTX 3060 12GB,38,5800,220400.0
2025-07-25,Mayorista ElectroPro MX,COMP-004,Fuente de Poder 650W 80Plus,298,700,208600.0
2025-08-01,Proveedor Central Electrónico,AUDIO-001,Audífonos Sony WH-1000XM5,10,4000,40000.0
2025-08-03,Mayorista ElectroPro MX,AUDIO-002,Bocina JBL Charge 5,104,1300,135200.0
2025-08-04,Mayorista ElectroPro MX,AUDIO-003,Micrófono USB Blue Yeti,37,1700,62900.0
2025-08-08,Importaciones GlobalTech,AUDIO-004,Audífonos Gamer HyperX Cloud II,7,1100,7700.0
2025-08-11,Mayorista ElectroPro MX,SMART-001,Foco Inteligente Philips Hue E27,419,220,92180.0
2025-08-12,Distribuciones Norte SA,SMART-002,Enchufe Inteligente WiFi 15A,942,150,141300.0
2025-08-15,Distribuidora TecnoMax SA de CV,SMART-003,Cámara IP Indoor 1080p WiFi,247,420,103740.0
2025-08-23,Distribuidora TecnoMax SA de CV,ELECT-001,Laptop ProBook X15,1,12000,12000.0
2025-08-23,Distribuidora TecnoMax SA de CV,ELECT-002,Tablet Samsung Galaxy Tab A8,35,3500,122500.0
2025-08-27,Importaciones GlobalTech,ELECT-003,Smartphone Redmi Note 13 Pro,28,2800,78400.0
2025-08-28,Mayorista ElectroPro MX,ELECT-004,"Monitor LED Full HD 27""",22,2900,63800.0
2025-08-29,Mayorista ElectroPro MX,ACESS-001,Mouse Inalámbrico Logitech M310,64,280,17920.0
2025-09-01,Importaciones GlobalTech,ACESS-002,Teclado Mecánico Redragon K552,119,550,65450.0
2025-09-01,Distribuidora TecnoMax SA de CV,ACESS-003,Hub USB-C 7 en 1,18,350,6300.0
2025-09-08,Distribuciones Norte SA,ACESS-004,Cable HDMI 4K 2m,3567,80,285360.0
2025-09-12,Proveedor Central Electrónico,ACESS-005,"Mochila Laptop 15.6""",516,450,232200.0
2025-09-15,Importaciones GlobalTech,COMP-001,SSD Samsung 870 EVO 1TB,213,900,191700.0
2025-09-16,Proveedor Central Electrónico,COMP-002,Memoria RAM DDR4 16GB 3200MHz,366,420,153720.0
2025-09-17,Mayorista ElectroPro MX,COMP-003,Tarjeta Gráfica RTX 3060 12GB,7,5800,40600.0
2025-09-19,Distribuciones Norte SA,COMP-004,Fuente de Poder 650W 80Plus,209,700,146300.0
2025-09-21,Distribuidora TecnoMax SA de CV,AUDIO-001,Audífonos Sony WH-1000XM5,94,4000,376000.0
2025-09-23,Distribuciones Norte SA,AUDIO-002,Bocina JBL Charge 5,6,1300,7800.0
2025-09-24,Mayorista ElectroPro MX,AUDIO-003,Micrófono USB Blue Yeti,245,1700,416500.0
2025-09-28,Distribuidora TecnoMax SA de CV,AUDIO-004,Audífonos Gamer HyperX Cloud II,275,1100,302500.0
2025-09-30,Distribuciones Norte SA,SMART-001,Foco Inteligente Philips Hue E27,242,220,53240.0
2025-10-03,Distribuidora TecnoMax SA de CV,SMART-002,Enchufe Inteligente WiFi 15A,1260,150,189000.0
2025-10-04,Proveedor Central Electrónico,SMART-003,Cámara IP Indoor 1080p WiFi,170,420,71400.0
2025-10-04,Mayorista ElectroPro MX,ELECT-001,Laptop ProBook X15,6,12000,72000.0
2025-10-05,Distribuciones Norte SA,ELECT-002,Tablet Samsung Galaxy Tab A8,2,3500,7000.0
2025-10-07,Distribuciones Norte SA,ELECT-003,Smartphone Redmi Note 13 Pro,51,2800,142800.0
2025-10-09,Importaciones GlobalTech,ELECT-004,"Monitor LED Full HD 27""",18,2900,52200.0
2025-10-11,Mayorista ElectroPro MX,ACESS-001,Mouse Inalámbrico Logitech M310,311,280,87080.0
2025-10-12,Proveedor Central Electrónico,ACESS-002,Teclado Mecánico Redragon K552,1195,550,657250.0
2025-10-13,Importaciones GlobalTech,ACESS-003,Hub USB-C 7 en 1,49,350,17150.0
2025-10-13,Distribuciones Norte SA,ACESS-004,Cable HDMI 4K 2m,1009,80,80720.0
2025-10-21,Proveedor Central Electrónico,ACESS-005,"Mochila Laptop 15.6""",141,450,63450.0
2025-10-22,Mayorista ElectroPro MX,COMP-001,SSD Samsung 870 EVO 1TB,134,900,120600.0
2025-10-27,Mayorista ElectroPro MX,COMP-002,Memoria RAM DDR4 16GB 3200MHz,36,420,15120.0
2025-10-28,Importaciones GlobalTech,COMP-003,Tarjeta Gráfica RTX 3060 12GB,11,5800,63800.0
2025-10-28,Mayorista ElectroPro MX,COMP-004,Fuente de Poder 650W 80Plus,362,700,253400.0
2025-11-01,Proveedor Central Electrónico,AUDIO-001,Audífonos Sony WH-1000XM5,15,4000,60000.0
2025-11-01,Distribuciones Norte SA,AUDIO-002,Bocina JBL Charge 5,31,1300,40300.0
2025-11-07,Mayorista ElectroPro MX,AUDIO-003,Micrófono USB Blue Yeti,29,1700,49300.0
2025-11-07,Mayorista ElectroPro MX,AUDIO-004,Audífonos Gamer HyperX Cloud II,115,1100,126500.0
2025-11-09,Distribuidora TecnoMax SA de CV,SMART-001,Foco Inteligente Philips Hue E27,84,220,18480.0
2025-11-11,Mayorista ElectroPro MX,SMART-002,Enchufe Inteligente WiFi 15A,1315,150,197250.0
2025-11-11,Mayorista ElectroPro MX,SMART-003,Cámara IP Indoor 1080p WiFi,27,420,11340.0
2025-11-12,Importaciones GlobalTech,ELECT-001,Laptop ProBook X15,9,12000,108000.0
2025-11-13,Proveedor Central Electrónico,ELECT-002,Tablet Samsung Galaxy Tab A8,6,3500,21000.0
2025-11-16,Distribuciones Norte SA,ELECT-003,Smartphone Redmi Note 13 Pro,36,2800,100800.0
2025-11-19,Mayorista ElectroPro MX,ELECT-004,"Monitor LED Full HD 27""",15,2900,43500.0
2025-11-26,Distribuciones Norte SA,ACESS-001,Mouse Inalámbrico Logitech M310,128,280,35840.0
2025-11-29,Distribuidora TecnoMax SA de CV,ACESS-002,Teclado Mecánico Redragon K552,438,550,240900.0
2025-11-29,Distribuciones Norte SA,ACESS-003,Hub USB-C 7 en 1,178,350,62300.0
2025-12-04,Distribuciones Norte SA,ACESS-004,Cable HDMI 4K 2m,1383,80,110640.0
2025-12-16,Distribuidora TecnoMax SA de CV,ACESS-005,"Mochila Laptop 15.6""",118,450,53100.0
2025-12-17,Mayorista ElectroPro MX,COMP-001,SSD Samsung 870 EVO 1TB,35,900,31500.0
2025-12-18,Importaciones GlobalTech,COMP-002,Memoria RAM DDR4 16GB 3200MHz,75,420,31500.0
2025-12-21,Mayorista ElectroPro MX,COMP-003,Tarjeta Gráfica RTX 3060 12GB,70,5800,406000.0
2025-12-21,Distribuidora TecnoMax SA de CV,COMP-004,Fuente de Poder 650W 80Plus,198,700,138600.0
2025-12-26,Proveedor Central Electrónico,AUDIO-001,Audífonos Sony WH-1000XM5,21,4000,84000.0
2025-12-29,Distribuidora TecnoMax SA de CV,AUDIO-002,Bocina JBL Charge 5,55,1300,71500.0
2025-12-29,Importaciones GlobalTech,AUDIO-003,Micrófono USB Blue Yeti,66,1700,112200.0
2025-12-29,Proveedor Central Electrónico,AUDIO-004,Audífonos Gamer HyperX Cloud II,7,1100,7700.0
